Country,Year,65-69 years,70-74 years,85+ years,80-84 years,75-79 years,60-64 years,45-49 years,55-59 years,15-19  years,10-14 years,5-9 years,30-34 years,35-39 years,<1 year,50-54 years,20-24 years,40-44 years,1-4 years,25-29 years
Türkiye,2005,7567,10287,37099,14815,13393,4973,1199,3124,179.8,222.8,380.7,300.1,436.1,2286,2122,228.3,723,420.2,244.7
Gabon,2005,9770,11021,10299,9857,11168,8405,4683,6894,649.1,775,769.1,2473,3155,4949,5708,1143,3855,2654,1773
Bahamas,2005,7526,10310,30133,13743,12212,6004,2596,4611,429.4,173,200.9,1443,1752,1263,3445,742.6,2156,200,1060
Grenada,2005,10322,16124,18336,15415,17655,6084,2304,3905,358.7,170.1,196.3,767.9,1330,1163,2806,463.7,1810,215,574.4
Equatorial Guinea,2005,8305,10339,12394,10476,11109,6715,3709,5200,604.9,785.2,1511,2257,2820,9440,4380,1044,3286,4000,1624
Guyana,2005,9830,12525,13433,9245,11429,10350,4057,7105,721.9,236.2,197.3,2201,2586,3476,5621,1281,3101,821.3,1783
Malta,2005,6401,10363,37254,19909,15100,3805,824.6,2312,152.8,81.53,46.84,272.3,335.6,571.8,1472,236.6,539.4,106.7,215.2
Haiti,2005,9283,10844,10385,9979,11126,7890,4661,6349,719.6,607.3,934.9,2535,3306,6591,5432,1115,4068,2430,1746
Niger,2005,8894,11067,10386,9960,11399,7171,3002,5321,609.2,1414,2215,1351,1773,8030,4091,788.6,2306,9170,1053
Nigeria,2005,8688,10931,11576,10392,11572,6933,3336,5192,571.4,813.9,1552,1659,2239,9614,4130,799.5,2760,6054,1186
Mali,2005,8791,11002,11363,10395,11495,7041,3163,5232,625.6,814.8,1650,1599,2059,9027,4114,866.1,2540,6996,1227
Pakistan,2005,10399,12136,10760,10927,12309,8596,3475,6483,853.2,369.2,495.3,1533,1918,7783,4915,1151,2623,1958,1316
Democratic Republic of the Congo,2005,9510,10818,8213,8728,10409,8225,4264,6585,816.6,922.6,1569,2019,2663,9557,5445,1110,3457,4186,1502
Myanmar,2005,10410,12254,11692,11176,12412,8670,3557,6536,699.6,460.2,978.6,1598,2004,5628,4952,1018,2729,1945,1281
Benin,2005,9276,11385,11273,10429,11753,7580,3526,5714,635.3,816.7,1638,1689,2245,7868,4594,903.4,2840,4568,1266
Togo,2005,9035,10498,9262,9001,10429,7819,4892,6394,790.5,650.8,1283,2834,3695,6594,5573,1263,4337,3664,1985
Brunei Darussalam,2005,10432,16411,22422,16129,16885,5540,1577,3688,247.8,147.5,157.6,556.8,739.9,846.7,2206,399.7,1064,202.5,346.3
Egypt,2005,10436,12413,20200,14118,13576,8384,2411,5784,343.8,224.7,252.1,516.8,805.2,2973,4709,386.6,1399,637.4,431
Papua New Guinea,2005,10437,12121,11788,11153,12386,8745,3832,6691,656.1,418.6,634.3,1745,2255,5073,5187,1024,3005,1522,1326
Iraq,2005,10439,12322,17848,12902,13374,8239,2980,5703,508.5,825.8,738.6,1059,1365,3236,4274,789.7,1786,738.9,871.5
Samoa,2005,10439,12600,17360,13538,13880,8406,3245,6356,507.9,194,216.6,1188,1582,1578,4590,815.3,2255,281.1,967
Belize,2005,7754,10440,29289,14099,12834,6437,2386,3667,528.8,211,196.7,1283,1345,1788,3340,969.2,1958,288.9,1187
Saint Lucia,2005,7000,10448,31466,16219,12994,5767,1892,4135,360.8,154.3,177,815.9,1140,1740,2620,543.8,1437,259.2,831.8
Ghana,2005,9694,11500,10872,10450,11692,8126,4213,6387,714.9,584.6,909.6,2173,2827,5615,5265,1079,3532,2802,1564
Lao People's Democratic Republic,2005,10454,12443,11706,11360,12643,8555,3267,6320,670.7,713.1,978.7,1298,1678,6401,4762,934,2396,2338,1083
Uruguay,2005,7939,10458,32227,15930,13920,5712,1751,4129,328.1,105.9,73.42,557.1,663.8,1169,2854,413.7,1115,232.8,422.3
Kiribati,2005,10697,10519,4235,6518,9094,10506,6214,9408,962.3,412.8,629.7,2397,3285,7587,7792,1555,4639,1649,1902
Liberia,2005,9019,11023,11457,10511,11431,7383,3545,5582,636.6,856.2,1236,1886,2421,9296,4524,975.3,2965,3833,1418
Madagascar,2005,10527,12260,10590,10869,12378,8719,3537,6620,683.3,825.5,1302,1456,1889,5646,5034,994.3,2638,2840,1193
Brazil,2005,7663,10586,29999,15687,13277,5550,2106,3956,523.2,166.6,137.3,881.4,1100,2258,2877,714.4,1461,274.5,782
Cuba,2005,7235,10618,34869,16349,14021,5155,1626,3735,239.2,130.3,98.19,453.9,662.9,613.4,2360,335.2,921.4,158.1,420.1
Rwanda,2005,8908,10624,9842,9543,10702,7499,4499,6027,712.4,1219,1778,2422,3189,7056,5233,1064,3892,4123,1668
Ethiopia,2005,9185,10727,9268,9357,10638,7833,4593,6250,779.5,947.3,1767,2394,3216,7033,5396,1082,3987,3855,1692
Kazakhstan,2005,10639,11853,13255,10834,12477,9161,4220,7152,526.8,223.7,222.8,2134,2488,2680,5719,1111,3245,378.8,1680
Denmark,2005,7133,10667,35989,17513,14480,4731,1387,3131,177.2,41.56,38.02,288.4,433,440.3,2255,192,745.6,74.75,283.4
Somalia,2005,9696,9785,4983,6276,8507,9193,4831,7920,937.7,918.8,2095,1962,2616,10677,6453,1307,3624,6641,1577
United Republic of Tanzania,2005,7762,9360,10712,8898,9823,6659,5713,5739,754.5,403,1001,3902,5006,5859,5635,1232,5531,3553,2456
Russian Federation,2005,9714,11251,13548,10768,11961,8905,5018,7626,575.6,201.6,190.9,2428,2973,1143,6446,1189,3928,194.9,1939
Estonia,2005,8472,10770,26529,14827,13216,6886,2875,5508,315.9,116.8,113.2,792.1,1204,513.7,4364,629.4,1966,155.3,748.3
Poland,2005,8251,10777,29424,16291,13737,6296,2362,4754,233.2,84.43,79.15,527.7,862,644.7,3443,343,1397,107.7,386.3
Burkina Faso,2005,8932,10786,9528,9365,10867,7444,3968,5822,818.7,748.8,1701,1744,2457,8278,4831,945.9,3183,7326,1254
Iran (Islamic Republic of),2005,7560,10796,29000,17582,15496,5252,1436,3493,546.7,258.5,268.2,636.5,742.8,2082,2277,578.4,990.5,412.8,590.2
Saint Vincent and the Grenadines,2005,7124,10806,22713,18385,14491,6899,2551,4540,350.7,212.4,186,1287,1644,1952,3451,611.2,1708,264.7,823.7
Argentina,2005,8049,10808,30926,16566,13839,5917,1761,4001,341.9,141.5,126.2,546.3,720.1,1281,2771,454.3,1074,214.2,462.8
Central African Republic,2005,7634,6872,2481,3552,5407,8158,7823,8163,1367,570.6,1164,4394,5845,10815,8146,1895,7203,5610,2900
South Sudan,2005,8881,11183,12335,10819,11925,7058,3169,5231,553.2,827.3,1731,1593,2071,8916,4096,805.8,2572,5067,1167
Afghanistan,2005,10832,11588,7403,8618,10862,9648,4409,7818,848.3,327.3,515.5,1794,2355,7774,6081,1270,3269,3066,1522
Vanuatu,2005,11444,12664,9628,10891,12634,9859,4532,7881,684.1,254.4,313.8,1775,2376,2635,6041,1142,3333,493.4,1419
Gambia,2005,9802,11630,11641,10895,11966,8108,3800,6176,617.8,626.1,996.5,1874,2433,5305,4897,978.2,3101,3791,1363
Honduras,2005,8286,10924,26097,13883,13485,6258,2489,4589,463.4,235.4,281.4,1218,1529,2517,3332,897.7,1984,480.6,1052
Antigua and Barbuda,2005,7454,10933,32026,16174,15007,5291,1431,3942,391.1,140.1,114.3,572.8,788.8,1109,2516,521.9,977.1,196.6,414.2
Bhutan,2005,9073,12560,20701,15357,15053,6515,1940,4305,374.7,397.2,683.9,780.9,1001,4503,2935,520.9,1363,1290,645.6
Venezuela (Bolivarian Republic of),2005,6676,9422,34378,15239,13685,4654,1733,3522,649.8,208.9,173.9,936.1,972.3,1572,2607,1035,1259,264.5,1014
Uzbekistan,2005,12798,15321,12166,11001,14987,9529,2569,6570,293.2,184.7,198.5,1017,1305,4149,4155,504.8,1744,697.7,811.1
Nicaragua,2005,8573,12453,24054,18275,16217,5809,1590,3793,313.1,256,229.8,498,685.7,2466,2488,368.8,1020,500.2,408.8
Mauritania,2005,8989,11841,17057,13439,13316,6853,2332,4734,500.2,286.1,701.4,1023,1280,6804,3428,719.1,1737,4093,868.9
Albania,2005,7699,11854,27462,19103,14765,5621,1241,3313,346.2,153.2,175.4,865.7,922.9,1803,2067,539.7,1029,211.6,828.3
Morocco,2005,9731,12983,22309,14134,15630,6721,1977,4385,376.2,157.4,276.7,822,1030,3268,2997,551.4,1400,584.2,667.4
Peru,2005,5836,8109,42472,15035,11432,3950,1436,2729,327.8,216.4,249.4,669.6,804.5,2080,1955,470.3,1032,611.2,583.9
Tajikistan,2005,12264,15525,12693,13954,15404,8091,2106,5623,305.5,138.3,136.5,859.3,1036,5067,3400,436.2,1438,915.4,608.3
Yemen,2005,9923,12708,15902,13559,14029,7694,2596,5379,518.2,326.4,547.6,1039,1326,5313,3871,729.5,1866,1808,865
Belgium,2005,5972,9051,40279,17889,13099,4310,1308,3014,181.9,63.52,64.98,365,485.9,375.3,2040,275.9,810.7,104,311
Cyprus,2005,6006,9218,39333,19580,14516,3641,861.9,2340,252,79.84,104.4,401.4,426,437.9,1423,360.1,579.6,74.23,366.1
Israel,2005,5725,9003,42857,17549,13257,3861,1041,2302,168.6,76.72,53.96,312.9,414.2,439.3,1587,299.3,661.9,125.7,266.2
Greece,2005,5465,8579,40405,18924,14443,3718,1042,2630,206.5,79.06,80.26,345.6,479,378,1763,358.1,659.9,77.39,367.5
Guinea,2005,9444,11259,9695,9740,11224,7872,3611,6025,736.1,766.7,1584,1831,2303,8549,4813,1045,2901,5171,1429
New Zealand,2005,5568,8281,44433,17283,12244,3730,1047,2428,333.5,76.03,78.2,385.4,511,506.7,1545,369.7,731.6,108.9,338.2
Slovakia,2005,9044,12235,23986,17657,15462,6774,2282,4867,203.8,55.45,105.3,464.6,771.9,723.1,3377,288.9,1242,140.4,320.3
Malawi,2005,6619,7100,5540,5351,6609,6440,7706,6328,1056,593.7,1194,6022,7527,6728,6924,1924,7952,4496,3891
Libya,2005,7754,9953,37667,12554,13482,5367,1618,3221,290.6,200.3,214.3,583.7,793.9,2007,2169,351.2,1057,329.5,388.4
Senegal,2005,9406,11959,14424,12200,12870,7382,2941,5306,559.3,832.7,1450,1366,1764,5442,4049,798.2,2307,3887,1057
Sudan,2005,9311,12274,16904,13508,13827,7020,2408,4860,515.8,379.1,888.6,1057,1337,5774,3501,733,1783,3044,877
Netherlands,2005,6123,9626,39933,18331,14038,4096,1068,2574,126.5,63.88,46.11,267.8,391.5,485.2,1720,182.4,637.7,96.48,192.3
Canada,2005,5806,8711,44852,16121,12328,3894,1076,2528,225.3,73.19,53.03,348,453.7,536.9,1636,299,687.9,82.33,289.1
Ireland,2005,6479,9907,37622,19153,14287,4211,1077,2507,265.4,69.01,46.16,381.1,431.2,385.1,1716,384.8,671.5,87.85,317.8
Bulgaria,2005,9635,12860,20004,17065,16194,7216,2466,5341,214.8,151.5,143.1,542.6,875.2,1079,3746,360.9,1463,219.8,424.7
India,2005,9736,12716,14655,14336,14944,7145,2467,4775,706.3,446,645.2,1272,1507,5602,3330,923.9,1848,1861,1086
Colombia,2005,6590,9609,37036,15635,13057,4229,1424,2755,546,168,141.1,911,961.2,1773,1939,909.1,1088,315.4,915.6
Malaysia,2005,9812,13763,23222,17397,15166,6588,1850,4353,343.1,159.2,134.7,664.6,846.6,697.1,2766,438.1,1190,109.8,498.7
Portugal,2005,6147,9211,36748,19095,14306,3951,1532,2894,247.7,74.81,89.07,572.6,772.3,353.4,2126,333.1,1095,86.76,366.4
Tunisia,2005,7643,11034,29723,19171,15275,4961,1302,3161,258.9,180.5,201.5,549.7,652,1876,1953,379.6,913.9,331.7,434.5
Djibouti,2005,9265,11330,12485,11037,11957,7561,3877,5791,583.7,637.1,1139,2153,2752,7105,4729,975.5,3350,1753,1520
Japan,2005,4768,7498,50815,15364,11044,3327,975,2263,132.9,48.3,55.15,292.6,421.1,271.5,1535,220.5,624.9,99.92,245.4
The former Yugoslav Republic of Macedonia,2005,11062,15568,13888,18451,18949,7048,1988,4980,205.2,95.17,89.81,382.1,603.1,1149,3772,266.3,976.3,155.7,370.9
Trinidad and Tobago,2005,9395,11064,23538,15045,13868,6635,2448,4965,522.8,177.5,145.7,1255,1342,2274,3142,808.2,1949,311.9,1113
France,2005,5261,7658,46675,15840,11076,3811,1491,2900,190.3,54.99,49.7,382.6,553.7,359.7,2156,290.3,881.8,78.43,290.3
Kyrgyzstan,2005,11094,13291,15779,11692,13412,9294,3063,6220,300.9,174.5,175.4,1383,1789,3532,4516,542.5,2314,544.8,882.6
Cabo Verde,2005,8005,11207,28850,14654,13315,4817,2307,4036,405.3,186.4,187.9,1232,1659,2218,2903,635.8,1968,471.8,942
Switzerland,2005,4951,7470,48435,17362,11389,3357,955.4,2193,169.4,56.09,53.31,264.2,396.2,422.5,1398,261.2,568.7,75.83,221.1
Czechia,2005,8174,11433,28754,18435,15475,5920,1726,4150,208.1,73.31,65.1,406.7,567.7,320.6,2679,305.5,909.6,84.27,313.3
Syrian Arab Republic,2005,8985,11596,25319,18244,15535,6301,1822,4126,299.4,181.4,233.9,464.9,600.2,1821,2546,315.4,903.8,291.4,413.4
Turkmenistan,2005,12079,13822,11617,9609,12470,9817,3607,7374,588.7,249,275.6,1775,2056,3985,4959,980.1,2648,823.7,1264
Latvia,2005,9045,11665,20968,14348,12984,8137,3261,6226,308.1,132.6,150.6,1153,1794,733.4,5000,627.9,2451,197.4,817.6
Hungary,2005,9090,11675,23042,15712,14370,7253,3367,5833,198.8,85.96,71.08,470.4,952.2,588.1,4666,269.2,1874,115.7,367.2
Thailand,2005,6702,9060,34642,14872,11759,4710,2104,3486,557.7,281,295.5,1561,1685,1494,2754,749.1,1864,244.8,1180
El Salvador,2005,5584,7946,35794,15391,11765,4402,2055,3387,746.7,189.2,136.2,1453,1495,2228,2511,1279,1713,385.5,1539
Tonga,2005,9697,11767,24430,14312,13612,7186,2642,5460,313.2,175.1,258.9,788.5,1149,1415,3741,457.7,1811,245.4,540.4
Bangladesh,2005,9508,11786,18594,17048,13068,7647,2066,4668,488,420.4,616.2,700.1,966,4922,3539,526.9,1371,1519,546.4
Panama,2005,5764,9053,40701,16278,11860,4205,1315,2600,342.1,181.8,180.6,645.5,842.7,1991,1703,501.7,953.6,342.8,538.4
Ukraine,2005,9998,11864,14704,12328,12975,8841,4406,7063,379.7,163.6,168.1,1882,2562,1294,5735,725.5,3411,206.4,1295
Australia,2005,5210,7685,47330,17146,11883,3379,953.9,2103,176.6,49.73,54.42,362.1,446,515.4,1366,282.7,653.2,92.91,310.3
Lebanon,2005,8333,11959,28010,18258,15945,5738,1456,3590,260.6,142.1,149.2,427.9,594.8,1114,2250,330.1,909.8,178.6,353.7
Croatia,2005,8382,11972,25418,19225,15883,6673,1765,3945,252.5,72.64,63.94,412.2,615.4,712.1,2881,295,949.5,88.14,394.2
Costa Rica,2005,5570,7980,46364,15247,12015,3366,1163,2259,264.7,117.4,110.6,495,552.3,957,1850,368.9,765.7,144.6,409.6
Bolivia (Plurinational State of),2005,9274,12549,20176,15026,14654,6851,2131,4596,419.6,265.1,371.1,870.8,1100,4314,3223,601.3,1535,1321,722.2
Qatar,2005,12572,16159,14202,19449,19438,6778,1106,3763,470.8,133.6,125.5,427.6,500.6,878.4,2248,529.4,653.7,139.3,427.3
Bosnia and Herzegovina,2005,9344,13319,24091,17840,17592,6213,1554,3913,166,74.76,68.4,343.3,514.7,967.2,2539,234.9,869.3,111.3,244
Seychelles,2005,9110,12472,22706,14986,14877,7469,2423,5453,323.7,145.5,156.4,706,1344,1111,3576,476.1,1897,198.4,570.7
United Arab Emirates,2005,9592,12878,24102,16120,15479,7181,1895,4735,293.9,114.7,112.2,582.4,769.9,881.2,3013,436.2,1178,138.3,496.9
Georgia,2005,8982,12411,21772,16360,15249,6364,2507,4744,208.8,112.6,113.7,988.7,1293,2174,3439,461.4,1911,282.7,627.2
Comoros,2005,9649,12264,15016,12742,13244,7549,2659,5344,573.1,309.3,776.1,1128,1428,7001,3915,799.7,1977,2673,953.8
Austria,2005,5585,8760,42052,17799,12751,4149,1138,3022,243,58.39,64.15,304.2,449.8,415.3,1894,297.6,658.7,85.74,272.2
Oman,2005,13467,15875,15823,12239,13405,9292,2445,6870,409.2,134,138.4,840.5,989.6,1138,3854,698.9,1488,187.3,705
United States of America,2005,6653,9481,38064,16167,12596,4906,1692,3326,321.8,92.13,75.87,561.9,736.9,652.1,2407,500.7,1142,123.5,503.2
Botswana,2005,6881,6872,4476,4921,6257,6912,8384,7084,1143,346.1,624.4,7842,8699,2063,7606,2985,8498,2585,5822
Zambia,2005,7065,7148,4933,5146,6477,6971,7605,6787,1204,515.3,1145,5998,7090,6429,7156,2270,7594,4293,4174
Nepal,2005,9483,12702,18689,14548,14681,7011,2195,4727,459.2,314.6,550,903.1,1146,4937,3305,639.7,1568,1387,754.4
Suriname,2005,8875,12580,22657,13818,13106,7198,2903,4850,393.9,201,173.4,1274,1490,2355,3792,863.2,2014,306,1149
Maldives,2005,9225,14348,25535,17851,15161,6552,1151,3447,194.8,187.5,201,291,414.8,1863,2115,227.7,684.9,318.7,231.2
Jamaica,2005,6837,9940,38359,14729,12171,5019,1486,3121,161.2,180.9,161.1,658.4,866.6,1860,2198,318.6,1156,294.2,483.1
Uganda,2005,7883,8923,8256,7563,8756,7130,6616,6426,1187,634,1158,3471,4905,6738,6474,1495,5891,4174,2321
Bahrain,2005,12435,17941,15205,16942,18207,7103,1354,4180,285.7,116,146,475.1,587.4,992.8,2318,329.9,820.8,141.3,420.2
Ecuador,2005,6645,9529,32573,15989,13289,4814,1937,3796,567.1,241.2,215.1,997,1160,1971,2523,925.6,1502,339.1,986.5
Kuwait,2005,6733,9364,41013,15454,12173,4954,1225,3166,229,128.1,126.5,379.8,459.5,1163,1932,331.9,687.1,167.8,313.1
United Kingdom of Great Britain and Northern Ireland,2005,6415,9617,39215,17808,13976,4229,1167,2697,185.1,69.01,48.67,379.2,508.9,510.8,1804,253.7,747.4,87.83,280.5
Spain,2005,5385,8195,43930,17995,12553,3604,1172,2524,197.1,67.39,57.16,336.4,515.3,386.7,1736,242.7,769.4,86.97,247.1
Sri Lanka,2005,8509,12426,27043,15180,13711,5535,2268,4059,673.8,188.7,183.4,983.2,1273,1176,3246,780.2,1718,200,847.3
Paraguay,2005,7046,9513,35986,13743,12748,5247,1649,3664,364.6,252.7,183.3,693.4,865.3,2602,2580,576.1,1178,495.7,612.9
Singapore,2005,6638,9296,43070,16941,12584,4127,923.1,2636,118.4,63.56,48.84,229.9,363.1,288.7,1642,217.4,561.8,70.31,181
Luxembourg,2005,6014,9202,41217,17332,13364,4392,1181,2785,149.5,41.24,34.43,297.3,493,300.3,1885,302.6,662,61.35,285.6
Timor-Leste,2005,9124,12180,18699,14266,13929,6874,2236,4681,458.5,479.7,778.5,934.5,1181,6199,3350,652.7,1639,1557,782.7
Azerbaijan,2005,12076,15456,12805,13453,15905,8231,2318,6043,294.6,189.1,252.4,777.8,982.1,4270,3726,429.2,1430,804.5,557.1
Viet Nam,2005,9008,12196,23566,16669,15163,6475,2087,4468,385.7,200.9,266,663.7,918.1,1837,3140,511.9,1369,528.9,547.1
Finland,2005,5788,8429,41740,16954,12299,4302,1523,3318,183.9,51.44,75.76,424.5,618.6,309.9,2352,305.2,929.4,96.96,299.1
Guatemala,2005,7675,9345,23356,14466,12353,5914,3023,5175,879.5,287.7,291.7,1727,2183,3336,3629,1324,2638,831.9,1565
Romania,2005,9345,12439,20926,16754,15430,7014,2762,5191,283.4,138.1,151.8,568.3,891.7,1674,3847,291.6,1644,266.8,380.9
Italy,2005,5272,8255,45764,17542,12470,3539,922.4,2264,167.1,61.37,49.48,288.1,386.4,379.2,1444,260.3,595.9,64.93,276.6
Philippines,2005,9697,12507,18832,16103,14115,7469,2495,5278,387.3,233,250.5,984.9,1347,2585,3728,619.9,1799,778.9,790.6
Iceland,2005,5329,8344,45833,17888,12632,3502,826.2,2213,167.2,71.73,50.7,244.3,276,221,1294,291.8,491.8,83.71,241.4
Montenegro,2005,9549,12727,22740,16813,15925,7066,2011,5127,217.5,80.74,84.95,515.1,764.7,943.7,3263,396.1,1228,124.5,424.4
Sweden,2005,5761,8614,44046,18129,12836,3626,895,2399,130.2,50.41,50.73,246.2,349.8,244.3,1516,234.3,540.3,84.28,247.8
Chile,2005,6844,9657,38516,16863,12963,4826,1292,3046,262.5,95.53,85.07,516.2,646,787.3,1801,356.3,921.2,139.8,381.4
Kenya,2005,7533,8731,9452,8171,9037,6763,7086,6173,816.7,481.6,744.5,4184,5867,4986,6572,1229,6861,2841,2469
China,2005,8800,13580,21784,18422,16736,5764,1613,4086,283.7,142.7,171.3,549.7,854.7,2115,2745,361.1,1241,366.7,383.8
Côte d’Ivoire,2005,8536,9415,6962,7244,8850,7758,5941,6729,876.7,889.1,1302,3298,4482,8594,6319,1254,5409,4008,2132
Burundi,2005,8205,8696,5652,6379,8020,7590,5810,6732,1851,1256,2126,3608,4462,7800,6305,2679,5249,4684,2896
Germany,2005,6038,9142,40916,17530,13174,4291,1297,2942,156.7,59.49,53.69,286.9,421.3,386.4,2031,218.3,747.5,82.16,227.6
Norway,2005,5615,8736,43429,17697,13201,3698,980.6,2425,169.8,51.52,44.41,323.9,461.4,304.2,1549,344,602.2,72.97,294.9
Jordan,2005,9161,13278,25357,15865,16747,6610,1375,3722,242.9,172.7,201.8,446,604.9,2024,2229,331.1,904.1,362,365.9
Armenia,2005,9374,14072,19752,17214,16135,7429,1879,4785,210.9,86.04,94.58,585.9,883.7,2028,3264,240.3,1315,291.9,362.9
Guinea-Bissau,2005,9370,9848,5928,6955,8933,8649,5162,7399,921.7,346.3,1908,2586,3398,9101,6319,1365,4299,5613,1900
Algeria,2005,6332,9643,29008,22474,14121,4630,1371,2920,333.9,219.6,271.9,578.4,738.3,2941,2005,441.6,978.2,490.5,502.5
Republic of Korea,2005,6530,9336,38455,17698,14187,4497,1400,2643,155.8,74.43,85.14,377.5,556.1,508.4,1971,240.7,921.1,81.18,283
Cameroon,2005,8788,9933,7895,8119,9609,7734,4883,6438,799.1,837.5,1656,3062,3757,7844,5690,1425,4313,4940,2277
Mozambique,2005,7880,8905,7297,7081,8601,7092,5391,6241,980.8,879.3,1453,4187,4675,8708,5882,2009,4988,4510,3238
Eswatini,2005,4867,4403,1865,2564,3634,5499,8349,6256,1484,337.3,901.6,9561,9656,6956,7232,4406,8826,5017,8187
Namibia,2005,7454,7848,6308,6473,7694,7048,7534,6790,843.1,519.6,752.7,5822,7248,4289,7000,1965,7525,3060,3826
South Africa,2005,6449,6410,8849,7282,6631,5843,6103,5778,889.8,464.8,721.3,7751,7638,4911,5859,2708,6949,3107,5658
Cameroon,2000,8869,10002,7466,7952,9568,7776,4531,6428,844.5,841.4,1737,2836,3329,9060,5537,1500,3884,5675,2162
Nigeria,2000,8591,10594,10018,9512,10908,6992,3268,5286,638.4,839.8,1702,1754,2242,11183,4206,914.5,2712,7336,1303
Dominican Republic,2000,6190,9066,37739,12678,10025,5199,2122,3215,330.4,209.9,266.5,1229,1478,3368,2773,639.2,1758,772,943.7
Burundi,2000,6972,6718,3134,4021,5641,6990,6359,6683,2067,1784,3348,4726,5583,10029,6545,3310,6069,6098,3922
Bulgaria,2000,10052,13565,17559,17232,16639,7372,2463,5303,300.6,126.7,160.5,643.8,940.6,1364,3672,385.4,1553,260.2,407.7
Maldives,2000,10059,14178,19911,16060,15459,7472,1488,4699,219.4,213.5,259.7,417.7,664.1,3376,3189,327.5,953.4,726.5,327.6
Rwanda,2000,8522,8488,4218,5308,7384,8133,5601,7281,950.3,1804,2972,3131,3975,10060,6544,1534,4836,6948,2310
Algeria,2000,6435,10065,22008,26910,13860,4848,1482,3035,428.7,265,346,723.8,877.2,3641,2115,592.4,1119,572.8,676.9
South Africa,2000,7626,8696,10082,8851,7800,7194,5366,6265,951.8,359.6,603.2,5418,5486,4631,5944,2501,5227,2484,4516
Germany,2000,7092,10088,37273,17252,13635,4627,1443,3203,223.5,64.16,56.82,347.6,530.8,435.7,2128,305,913.4,96.1,286.2
Eritrea,2000,10139,10091,5277,6616,8897,9621,5823,8430,1166,696.9,1082,2947,3768,6345,7158,1843,4766,3030,2304
Belgium,2000,6732,10103,36147,17978,13982,4430,1464,3207,269,82.06,50.09,458.9,597.2,484.8,2171,433.3,908.2,119.4,382.8
Israel,2000,6878,10103,37799,18240,14034,4229,1104,2669,230.6,74.43,75.23,362.4,538.4,557.5,1683,280.7,707.7,131.6,303.2
Myanmar,2000,10566,12017,9891,10116,11799,9001,3795,6985,789.2,533.9,1335,1628,2068,6350,5387,1117,2859,2412,1351
Comoros,2000,10132,12339,12315,11659,12765,8204,3066,5993,640.1,338,853.8,1266,1620,7267,4473,893.3,2265,2844,1065
Democratic People's Republic of Korea,2000,11239,13287,10150,12677,14235,9152,3269,6727,632.5,393.9,590.6,1120,1526,4623,4812,867.1,2223,1544,931.1
Madagascar,2000,10450,12040,9426,10160,11896,8738,3569,6664,719.8,910,1495,1464,1892,6754,5099,1025,2647,3833,1218
Guinea,2000,9145,10946,9156,9322,10884,7599,3383,5800,805.1,860.6,1787,1739,2129,10161,4579,1131,2667,6470,1435
Luxembourg,2000,6960,10177,37016,17726,13798,4622,1365,3144,196.2,57.06,44.1,410.1,498.4,383.6,1978,328.7,859.1,76.98,360.1
Barbados,2000,7330,10194,31140,16667,13663,5512,1936,3769,422.6,149.1,98.9,960.7,1115,1485,2822,556.9,1326,139.8,713.3
Somalia,2000,9798,9601,4323,5751,8098,9423,5117,8308,1016,921.8,2102,2040,2701,10210,6869,1395,3802,6862,1662
Guyana,2000,10839,11535,12457,11280,10212,8674,4142,8349,662.2,223.4,199.2,2270,2625,4004,5420,1275,2930,927.3,1975
Chad,2000,8927,10220,7139,7876,9692,7739,3875,6174,860.5,985.6,2160,2043,2566,10294,5036,1226,3169,8404,1614
Tonga,2000,10230,12891,20660,14045,14283,7978,2843,5525,326.4,186.6,242.9,930.2,1191,1691,3811,445.3,1961,260,500.3
Kazakhstan,2000,11758,12501,10494,10237,11610,9821,4215,7612,628.8,230.2,236.4,1910,2331,4119,5759,1166,3141,623.5,1606
Democratic Republic of the Congo,2000,9131,10264,7228,7880,9682,8022,4357,6544,860.2,906.8,1717,2255,2875,10915,5475,1231,3589,5361,1709
Cyprus,2000,6390,10286,35171,21608,15193,3570,844.3,2490,280.5,83.13,111.9,371.3,407.3,573.2,1324,365.9,489.9,87.36,354.4
Cambodia,2000,9945,11579,10362,10297,11644,8307,3629,6308,698.4,455.9,1120,1841,2227,8604,4875,1082,2860,2637,1529
United States of America,2000,7562,10299,35566,15725,13255,5228,1652,3585,336.8,99.48,77.48,540.3,776.6,749.1,2363,460.6,1149,124.9,450.2
Belarus,2000,10342,12212,16676,13411,13438,8570,3647,7109,380.1,150.2,121,1435,1874,936.1,4934,836.3,2553,294.5,1080
Niger,2000,8465,10349,8656,8753,10367,6916,2908,5193,628.4,1319,2631,1355,1739,9873,3972,803.5,2227,12768,1075
Trinidad and Tobago,2000,10355,11746,21223,13468,14022,7108,2554,5382,364.1,182.4,161.2,1216,1582,2541,4055,713.9,2020,346.6,959
Solomon Islands,2000,11492,12381,7720,9831,11902,10378,5139,8583,723.5,265,332.2,2027,2718,2651,6704,1235,3813,536.4,1570
Papua New Guinea,2000,10379,12343,12841,11780,12806,8523,3376,6359,650.6,442.4,687.9,1459,1861,5258,4789,968.9,2545,1749,1182
Ghana,2000,9597,11451,10802,10401,11630,7967,3941,6158,686.4,645.7,1078,2126,2658,6371,5039,1093,3273,3503,1580
Mali,2000,8567,10404,9499,9250,10551,7029,3229,5338,773.3,830.7,1809,1765,2155,10627,4246,1107,2608,8776,1435
